Statistical profiling result from isolate-0x102001600-v8-67892.log, (160849 ticks, 10639 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     44    0.0%    0.1%  LazyCompile: *serializeObject /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/serializer.js:294:31
     43    0.0%    0.1%  Stub: SubStringStub
     43    0.0%    0.1%  Stub: FastNewClosureStub
     40    0.0%    0.1%  RegExp: \\((\\d{1\,4})\\/(\\d{1\,4})\\)
     40    0.0%    0.1%  LazyCompile: ~Socket._writeGeneric net.js:675:42
     40    0.0%    0.1%  LazyCompile: *insert /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/database.js:106:8
     40    0.0%    0.1%  LazyCompile: *extractRegex /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:74:14
     40    0.0%    0.1%  LazyCompile: *decode /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/decode.js:7:16
     40    0.0%    0.1%  Builtin: NonNumberToNumber
     38    0.0%    0.1%  RegExp: (\\d{1\,5}[.\,]\\d{1\,4})[ ]+(gb|mb|kb)
     37    0.0%    0.1%  Function: ~<anonymous> module.js:1:11
     37    0.0%    0.1%  Builtin: HandleApiCall
     37    0.0%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
     36    0.0%    0.1%  LazyCompile: *RegExpReplace native regexp.js:356:23
     36    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot
     35    0.0%    0.1%  Stub: ToIntegerStub
     35    0.0%    0.1%  Stub: StringAddStub_CheckNone_Tenured
     34    0.0%    0.1%  Stub: TypeofStub
     34    0.0%    0.1%  Stub: LoadFieldStub
     33    0.0%    0.1%  RegExp: \\[(\\d{1\,4})(\\/| of )(\\d{1\,4})\\]
     33    0.0%    0.1%  RegExp: \\"(.*)\\"
     33    0.0%    0.1%  RegExp: ([ ._-]thumb[s]?|[ ._-]{1\,2}screen[s]?[\\d]{0\,4}|[ ._-]r|[ ._-]f|[ ._-]b|[ ._-]back|[ ._-]front|[ ._-]rear|[ ._-]index|[ ._-]info|[ ._-]cover[s]?)$
     33    0.0%    0.1%  LazyCompile: *decode /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/ext-unpacker.js:54:16
     32    0.0%    0.1%  Stub: HasPropertyStub
     32    0.0%    0.1%  LazyCompile: *debug /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/lib/debug.js:5:16
     32    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {4}
     31    0.0%    0.1%  LazyCompile: *slowToString buffer.js:434:22
     31    0.0%    0.1%  LazyCompile: *parseInt native v8natives.js:9:24
     31    0.0%    0.1%  LazyCompile: *extractFileIndex /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:100:18
     30    0.0%    0.1%  LazyCompile: *ext /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:106:13
     29    0.0%    0.1%  LazyCompile: *indexOf native string.js:34:23
     28    0.0%    0.1%  LazyCompile: ~processMessage /Volumes/Fast/Dropbox/Development/Node/nzbindexer/articles2ToDatabase.js:48:27
     28    0.0%    0.1%  LazyCompile: *afterWrite _stream_writable.js:379:20
     28    0.0%    0.1%  Builtin: ObjectProtoToString
     28    0.0%    0.1%  Builtin: GlobalIsFinite
     26    0.0%    0.1%  Stub: LoadConstantStub
     26    0.0%    0.1%  Stub: CompareICStub {7}
     26    0.0%    0.1%  LazyCompile: *reduce native array.js:917:21
     26    0.0%    0.1%  LazyCompile: *array /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:77:15
     26    0.0%    0.1%  LazyCompile: *Uint8ArrayConstructByArrayBuffer native typedarray.js:132:42
     24    0.0%    0.0%  LazyCompile: *serializeNumber /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/serializer.js:59:31
