Statistical profiling result from isolate-0x102001600-v8-67892.log, (160849 ticks, 10639 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {19}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {17}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {16}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {14}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {13}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String)
      1    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:290:23
      1    0.0%    0.0%  LazyCompile: ~tryStatSync fs.js:452:21
      1    0.0%    0.0%  LazyCompile: ~sort native array.js:750:19
      1    0.0%    0.0%  LazyCompile: ~serializeObject /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/serializer.js:294:31
      1    0.0%    0.0%  LazyCompile: ~serializeInto /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/serializer.js:574:43
      1    0.0%    0.0%  LazyCompile: ~serialize /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/bson.js:47:46
      1    0.0%    0.0%  LazyCompile: ~removeAllListeners events.js:383:32
      1    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:140:20
      1    0.0%    0.0%  LazyCompile: ~match native string.js:44:23
      1    0.0%    0.0%  LazyCompile: ~map_to_obj /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:43:20
      1    0.0%    0.0%  LazyCompile: ~fs.readSync fs.js:649:23
      1    0.0%    0.0%  LazyCompile: ~fs.lstatSync fs.js:958:24
      1    0.0%    0.0%  LazyCompile: ~extractRegex /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:74:14
      1    0.0%    0.0%  LazyCompile: ~extractFileIndex /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:100:18
      1    0.0%    0.0%  LazyCompile: ~deserialize /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/deserializer.js:19:27
      1    0.0%    0.0%  LazyCompile: ~checkStatus /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb-core/lib/connection/pool.js:868:23
      1    0.0%    0.0%  LazyCompile: ~calculateObjectSize /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/calculate_size.js:23:55
      1    0.0%    0.0%  LazyCompile: ~basename path.js:1352:30
      1    0.0%    0.0%  LazyCompile: ~assertSize buffer.js:114:20
      1    0.0%    0.0%  LazyCompile: ~articlequeue.on /Volumes/Fast/Dropbox/Development/Node/nzbindexer/articles2ToDatabase.js:47:29
      1    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:219:36
      1    0.0%    0.0%  LazyCompile: ~Socket.write net.js:666:34
      1    0.0%    0.0%  LazyCompile: ~Socket._read net.js:423:34
      1    0.0%    0.0%  LazyCompile: ~RegExpSplit native regexp.js:107:21
      1    0.0%    0.0%  LazyCompile: ~RedisClient.internal_send_command /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/index.js:864:56
      1    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:273:35
      1    0.0%    0.0%  LazyCompile: ~Query /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb-core/lib/connection/commands.js:33:21
      1    0.0%    0.0%  LazyCompile: ~Module._findPath module.js:148:28
      1    0.0%    0.0%  LazyCompile: ~GetSubstitution native regexp.js:394:25
      1    0.0%    0.0%  LazyCompile: ~DoJoin native array.js:97:16
      1    0.0%    0.0%  LazyCompile: ~Deque$push /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/double-ended-queue/js/deque.js:47:43
      1    0.0%    0.0%  LazyCompile: ~Buffer buffer.js:75:16
      1    0.0%    0.0%  LazyCompile: ~BSON.calculateObjectSize /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/bson.js:127:46
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/lib/commands.js:23:32
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-token.js:158:18
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb-core/lib/connection/connection.js:209:18
      1    0.0%    0.0%  LazyCompile: *normalizeStringPosix path.js:78:30
      1    0.0%    0.0%  LazyCompile: *normal_reply /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/index.js:715:23
      1    0.0%    0.0%  LazyCompile: *isDate /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/calculate_size.js:19:29
      1    0.0%    0.0%  LazyCompile: *get unicode native regexp.js:675:26
      1    0.0%    0.0%  LazyCompile: *get native collection.js:240:16
      1    0.0%    0.0%  LazyCompile: *get global native regexp.js:623:25
      1    0.0%    0.0%  LazyCompile: *cleanWhiteSpace /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:42:17
      1    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:217:52
      1    0.0%    0.0%  LazyCompile: *Connection.isConnected /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb-core/lib/connection/connection.js:549:44
      1    0.0%    0.0%  LazyCompile: *BSON.calculateObjectSize /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/bson.js:127:46
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {2}
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      1    0.0%    0.0%  Handler: write
      1    0.0%    0.0%  Handler: warn
      1    0.0%    0.0%  Handler: unicode
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {9}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {8}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {7}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {5}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {3}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {2}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {22}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {21}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {20}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {1}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {19}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {17}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {14}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {13}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {11}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {10}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38)
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {9}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {8}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {7}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {6}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {5}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {3}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {1}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {13}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {12}
      1    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {11}
      1    0.0%    0.0%  Handler: setSocketTimeout
      1    0.0%    0.0%  Handler: replace
      1    0.0%    0.0%  Handler: readDoubleLE
      1    0.0%    0.0%  Handler: ordered
      1    0.0%    0.0%  Handler: options
      1    0.0%    0.0%  Handler: ok {1}
      1    0.0%    0.0%  Handler: match
      1    0.0%    0.0%  Handler: info {1}
      1    0.0%    0.0%  Handler: info
      1    0.0%    0.0%  Handler: global
      1    0.0%    0.0%  Handler: file {1}
      1    0.0%    0.0%  Handler: file
      1    0.0%    0.0%  Handler: extractRegex
      1    0.0%    0.0%  Handler: extractFilesize {3}
      1    0.0%    0.0%  Handler: extractFilesize {2}
      1    0.0%    0.0%  Handler: extractFilesize {1}
      1    0.0%    0.0%  Handler: extractFilesize
      1    0.0%    0.0%  Handler: exec
      1    0.0%    0.0%  Handler: encoding
      1    0.0%    0.0%  Handler: emit
      1    0.0%    0.0%  Handler: documents
      1    0.0%    0.0%  Handler: authenticatingTimestamp
      1    0.0%    0.0%  Handler: authenticating
      1    0.0%    0.0%  Handler: _unrefTimer
      1    0.0%    0.0%  Handler: _idlePrev
      1    0.0%    0.0%  Function: ~<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/path-is-absolute/index.js:1:11
      1    0.0%    0.0%  Function: ~<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb-core/lib/connection/connection.js:1:11
      1    0.0%    0.0%  Builtin: StringPrototypeLastIndexOf
      1    0.0%    0.0%  Builtin: ArrayPop
      1    0.0%    0.0%  Builtin: ArrayIndexOf

 [C++]:
   ticks  total  nonlib   name
  14063    8.7%   28.9%  void node::StreamBase::JSMethod<node::StreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
    657    0.4%    1.3%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
    370    0.2%    0.8%  v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, bool, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Handle<v8::internal::Object>)
    337    0.2%    0.7%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
    319    0.2%    0.7%  void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
    284    0.2%    0.6%  v8::internal::Object::InstanceOf(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
    284    0.2%    0.6%  v8::internal::Object::GetMethod(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::Name>)
    252    0.2%    0.5%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
    200    0.1%    0.4%  v8::internal::LookupIterator::FetchValue() const
    196    0.1%    0.4%  v8::internal::ConsString* v8::internal::String::VisitFlat<v8::Utf8LengthHelper::Visitor>(v8::Utf8LengthHelper::Visitor*, v8::internal::String*, int)
    184    0.1%    0.4%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
    162    0.1%    0.3%  v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)
    153    0.1%    0.3%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
    148    0.1%    0.3%  v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
    146    0.1%    0.3%  void v8::Utf8WriterVisitor::Visit<unsigned char>(unsigned char const*, int)
    132    0.1%    0.3%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    130    0.1%    0.3%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
    124    0.1%    0.3%  v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<true>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
    123    0.1%    0.3%  v8::internal::Runtime_InstanceOf(int, v8::internal::Object**, v8::internal::Isolate*)
    117    0.1%    0.2%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
    117    0.1%    0.2%  v8::internal::LookupIterator::LookupIterator(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
    116    0.1%    0.2%  void v8::internal::LookupIterator::Start<false>()
    113    0.1%    0.2%  v8::ArrayBuffer::New(v8::Isolate*, void*, unsigned long, v8::ArrayBufferCreationMode)
    112    0.1%    0.2%  v8::String::WriteUtf8(char*, int, int*, int) const
    111    0.1%    0.2%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
    105    0.1%    0.2%  v8::internal::Object::BooleanValue()
    105    0.1%    0.2%  v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
     97    0.1%    0.2%  v8::internal::Heap::Scavenge()
     92    0.1%    0.2%  v8::internal::Object::CreateListFromArrayLike(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::ElementTypes)
     92    0.1%    0.2%  v8::internal::LocalArrayBufferTracker::Add(v8::internal::JSArrayBuffer*, unsigned long const&)
     89    0.1%    0.2%  v8::internal::String::GetFlatContent()
     87    0.1%    0.2%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::StaticScavengeVisitor<(v8::internal::PromotionMode)1> >(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
     85    0.1%    0.2%  node::AsyncWrap::MakeCallback(v8::Local<v8::Function>, int, v8::Local<v8::Value>*)
     79    0.0%    0.2%  void node::Buffer::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     78    0.0%    0.2%  v8::internal::String::IndexOf(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>, int)
     78    0.0%    0.2%  _uv__io_poll
     77    0.0%    0.2%  v8::internal::TransitionArray::GetPrototypeTransition(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Object>)
     76    0.0%    0.2%  v8::internal::Builtin_Impl_HandleApiCall(v8::internal::BuiltinArguments, v8::internal::Isolate*)
     73    0.0%    0.1%  v8::internal::Heap::CopyJSObject(v8::internal::JSObject*, v8::internal::AllocationSite*)
     72    0.0%    0.1%  v8::internal::Builtin_Impl_ObjectAssign(v8::internal::BuiltinArguments, v8::internal::Isolate*)
     70    0.0%    0.1%  v8::internal::StringSearch<unsigned char, unsigned char>::LinearSearch(v8::internal::StringSearch<unsigned char, unsigned char>*, v8::internal::Vector<unsigned char const>, int)
     70    0.0%    0.1%  v8::internal::Runtime_StringIndexOf(int, v8::internal::Object**, v8::internal::Isolate*)
     70    0.0%    0.1%  v8::HandleScope::Initialize(v8::Isolate*)
     68    0.0%    0.1%  v8::internal::LookupIterator::LookupIterator(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
     67    0.0%    0.1%  v8::internal::Runtime_StringReplaceGlobalRegExpWithString(int, v8::internal::Object**, v8::internal::Isolate*)
     65    0.0%    0.1%  v8::internal::JSObject::SetPrototype(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Object::ShouldThrow)
     65    0.0%    0.1%  v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
     65    0.0%    0.1%  v8::internal::Factory::NewStringFromOneByte(v8::internal::Vector<unsigned char const>, v8::internal::PretenureFlag)
     65    0.0%    0.1%  _uv__stream_io
     62    0.0%    0.1%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
     61    0.0%    0.1%  v8::internal::IncrementalMarking::MarkGrey(v8::internal::Heap*, v8::internal::HeapObject*)
     61    0.0%    0.1%  node::StreamWrap::Initialize(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Context>)::$_0::__invoke(v8::FunctionCallbackInfo<v8::Value> const&)
     59    0.0%    0.1%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::PromotionMode)1, (v8::internal::LoggingAndProfiling)0>::SemiSpaceCopyObject<(v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
     58    0.0%    0.1%  v8::internal::TransitionArray::SearchTransition(v8::internal::Map*, v8::internal::PropertyKind, v8::internal::Name*, v8::internal::PropertyAttributes)
     57    0.0%    0.1%  v8::internal::AllocationMemento* v8::internal::Heap::FindAllocationMemento<(v8::internal::Heap::FindMementoMode)1>(v8::internal::HeapObject*)
     56    0.0%    0.1%  v8::internal::String::ToNumber(v8::internal::Handle<v8::internal::String>)
     55    0.0%    0.1%  v8::internal::Factory::NewStringFromUtf8(v8::internal::Vector<char const>, v8::internal::PretenureFlag)
     53    0.0%    0.1%  v8::internal::RegExpImpl::AtomExecRaw(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, int*, int)
     53    0.0%    0.1%  node::StringBytes::Write(v8::Isolate*, char*, unsigned long, v8::Local<v8::Value>, node::encoding, int*)
     52    0.0%    0.1%  v8::internal::JSTypedArray::GetBuffer()
     50    0.0%    0.1%  v8::internal::LookupIterator::PrepareTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::StoreFromKeyed)
     50    0.0%    0.1%  v8::internal::Heap::Allocate(v8::internal::Map*, v8::internal::AllocationSpace, v8::internal::AllocationSite*)
     50    0.0%    0.1%  v8::internal::ApiNatives::InstantiateObject(v8::internal::Handle<v8::internal::ObjectTemplateInfo>, v8::internal::Handle<v8::internal::JSReceiver>)
     50    0.0%    0.1%  v8::Context::Enter()
     49    0.0%    0.1%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
     49    0.0%    0.1%  v8::Isolate::GetCurrentContext()
     49    0.0%    0.1%  _uv_run
     47    0.0%    0.1%  v8::internal::StringSearch<unsigned char, unsigned char>::InitialSearch(v8::internal::StringSearch<unsigned char, unsigned char>*, v8::internal::Vector<unsigned char const>, int)
     47    0.0%    0.1%  v8::internal::Runtime_RegExpExec(int, v8::internal::Object**, v8::internal::Isolate*)
     47    0.0%    0.1%  v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::Object::StoreFromKeyed)
     46    0.0%    0.1%  v8::internal::Object* v8::internal::StringReplaceGlobalAtomRegExpWithString<v8::internal::SeqOneByteString>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::JSObject>)
     45    0.0%    0.1%  v8::internal::PrototypeIterator::AdvanceIgnoringProxies()
     45    0.0%    0.1%  v8::Value::IsExternal() const
     44    0.0%    0.1%  node::Buffer::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
     43    0.0%    0.1%  v8::internal::HeapObject::SizeFromMap(v8::internal::Map*)
     43    0.0%    0.1%  v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
     42    0.0%    0.1%  v8::internal::Object::GetRootMap(v8::internal::Isolate*)
     41    0.0%    0.1%  v8::internal::String::Trim(v8::internal::Handle<v8::internal::String>, v8::internal::String::TrimMode)
     41    0.0%    0.1%  v8::internal::LookupIterator::NotFound(v8::internal::JSReceiver*) const
     40    0.0%    0.1%  v8::Value::IsUint8Array() const
     39    0.0%    0.1%  v8::internal::Runtime::GetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*)
     39    0.0%    0.1%  v8::internal::(anonymous namespace)::InstantiateObject(v8::internal::Isolate*, v8::internal::Handle<v8::internal::ObjectTemplateInfo>, v8::internal::Handle<v8::internal::JSReceiver>, bool)
     38    0.0%    0.1%  v8::internal::Runtime_LoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
     38    0.0%    0.1%  v8::internal::Map::TransitionToDataProperty(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::StoreFromKeyed)
     38    0.0%    0.1%  v8::internal::LoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
     38    0.0%    0.1%  v8::External::Value() const
     38    0.0%    0.1%  int v8::internal::BinarySearch<(v8::internal::SearchMode)0, v8::internal::TransitionArray>(v8::internal::TransitionArray*, v8::internal::Name*, int, int*)
     38    0.0%    0.1%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::PromotionMode)1, (v8::internal::LoggingAndProfiling)0>::PromoteObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::PromotionMode)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)0, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
     37    0.0%    0.1%  v8::internal::Accessors::ArrayLengthGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
     37    0.0%    0.1%  _uv__write
     36    0.0%    0.1%  v8::internal::PerIsolateAssertScope<(v8::internal::PerIsolateAssertType)0, true>::IsAllowed(v8::internal::Isolate*)
     36    0.0%    0.1%  v8::internal::InternalizedStringKey::IsMatch(v8::internal::Object*)
     36    0.0%    0.1%  v8::internal::FunctionTemplateInfo::IsTemplateFor(v8::internal::Map*)
     36    0.0%    0.1%  v8::internal::ArrayBufferTracker::ProcessBuffers(v8::internal::Page*, v8::internal::ArrayBufferTracker::ProcessingMode)
     36    0.0%    0.1%  v8::Function::Call(v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
     35    0.0%    0.1%  v8::internal::JSObject::MakePrototypesFast(v8::internal::Handle<v8::internal::Object>, v8::internal::WhereToStart, v8::internal::Isolate*)
     35    0.0%    0.1%  v8::HandleScope::~HandleScope()
     34    0.0%    0.1%  v8::internal::SlotSet::Insert(int)
     34    0.0%    0.1%  v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
     34    0.0%    0.1%  v8::internal::Factory::NewNumber(double, v8::internal::PretenureFlag)
     33    0.0%    0.1%  v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
     33    0.0%    0.1%  v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindEntry(v8::internal::Isolate*, v8::internal::HashTableKey*)
     33    0.0%    0.1%  _uv__run_check
     32    0.0%    0.1%  v8::internal::List<v8::internal::Context*, v8::internal::FreeStoreAllocationPolicy>::Add(v8::internal::Context* const&, v8::internal::FreeStoreAllocationPolicy)
     32    0.0%    0.1%  v8::internal::Factory::NewJSTypedArray(v8::internal::ExternalArrayType, v8::internal::PretenureFlag)
     31    0.0%    0.1%  v8::internal::Logger::ApiEntryCall(char const*)
     31    0.0%    0.1%  v8::internal::Isolate::FireCallCompletedCallback()
     31    0.0%    0.1%  v8::internal::IC::PatchCache(v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>)
     31    0.0%    0.1%  node::StringBytes::GetExternalParts(v8::Isolate*, v8::Local<v8::Value>, char const**, unsigned long*)
     31    0.0%    0.1%  int v8::internal::Search<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
     30    0.0%    0.1%  v8::internal::Scavenger::ScavengeObjectSlow(v8::internal::HeapObject**, v8::internal::HeapObject*)
     30    0.0%    0.1%  v8::internal::Map::DictionaryElementsInPrototypeChainOnly()
     30    0.0%    0.1%  v8::internal::LookupIterator::GetRootForNonJSReceiver(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, unsigned int)
     29    0.0%    0.1%  v8::internal::ThreadId::GetCurrentThreadId()
     29    0.0%    0.1%  v8::internal::Strtod(v8::internal::Vector<char const>, int)
     29    0.0%    0.1%  v8::internal::Heap::IteratePromotedObjectPointers(v8::internal::HeapObject*, unsigned char*, unsigned char*, bool, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
     29    0.0%    0.1%  v8::internal::Factory::NewJSTypedArray(v8::internal::ExternalArrayType, v8::internal::Handle<v8::internal::JSArrayBuffer>, unsigned long, unsigned long, v8::internal::PretenureFlag)
     29    0.0%    0.1%  v8::Locker::IsActive()
     29    0.0%    0.1%  v8::EscapableHandleScope::EscapableHandleScope(v8::Isolate*)
     28    0.0%    0.1%  v8::internal::Runtime_StringSplit(int, v8::internal::Object**, v8::internal::Isolate*)
     28    0.0%    0.1%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
     28    0.0%    0.1%  v8::internal::LookupIterator::ApplyTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>)
     28    0.0%    0.1%  v8::internal::JSTypedArray::type()
     28    0.0%    0.1%  v8::internal::Factory::NewJSArrayBuffer(v8::internal::SharedFlag, v8::internal::PretenureFlag)
     28    0.0%    0.1%  v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Handle<v8::internal::Map>, int, v8::internal::Handle<v8::internal::Object>)
     28    0.0%    0.1%  v8::Object::SetPrototype(v8::Local<v8::Context>, v8::Local<v8::Value>)
     27    0.0%    0.1%  void v8::internal::LookupIterator::Start<true>()
